"","FIPS","corr","pval"
"1","F13001",-0.456739012961406,0.0075418056516529
"2","F13003",-0.218367032156894,0.207584976382007
"3","F13005",-0.329324749101794,0.0612802446739633
"4","F13007",-0.0012834080673327,0.993985033230388
"5","F13017",-0.287838374687589,0.0840722027098931
"6","F13019",-0.163390388216551,0.333910500013689
"7","F13023",-0.334054354148979,0.0433113587922253
"8","F13027",-0.141610863087496,0.403129288154785
"9","F13031",-0.252277511914328,0.131974819782033
"10","F13033",-0.40100906525525,0.0139037844339408
"11","F13037",-0.146678342156639,0.386333490962165
"12","F13043",-0.334259285933327,0.0533432312081959
"13","F13061",-0.433184930592037,0.0117961730029663
"14","F13069",-0.206596116903815,0.226691799452667
"15","F13071",-0.44825477568256,0.0053963275556548
"16","F13075",-0.160470022617699,0.342739317848508
"17","F13081",-0.336273830244247,0.0418550854423288
"18","F13087",0.144344830860931,0.408074060860195
"19","F13091",-0.265371196338874,0.112422770423219
"20","F13093",-0.395350817396231,0.0154407170468562
"21","F13099",-0.209073423058256,0.214282986236991
"22","F13107",-0.406787478072701,0.012469532515893
"23","F13131",-0.244052656070253,0.145481692485571
"24","F13153",-0.328973556253272,0.0758845259594451
"25","F13155",-0.488702249060414,0.00214738998735974
"26","F13161",-0.290540132399096,0.0955271876483154
"27","F13163",-0.327058121914586,0.0515328920248631
"28","F13165",-0.130447230667686,0.455118404427441
"29","F13173",-0.0218314526727183,0.902462594458064
"30","F13175",-0.44981208808211,0.00760605744748731
"31","F13177",0.0855092189286902,0.653232088990661
"32","F13193",-0.255934656187154,0.144020162264507
"33","F13201",-0.0210190411671982,0.901727750816393
"34","F13205",-0.0648262045973123,0.703062519172892
"35","F13209",-0.145140624869983,0.420299712326407
"36","F13229",-0.234298071369494,0.189385698506568
"37","F13235",-0.37305861951348,0.0250293953082785
"38","F13243",-0.166302700980292,0.347217472897073
"39","F13251",-0.194908127678714,0.247674573957851
"40","F13253",-0.0122643399201451,0.942567542272496
"41","F13261",-0.0834626852832934,0.623343627191294
"42","F13267",-0.216805163476329,0.249820939908611
"43","F13271",-0.116197321256896,0.540886706601874
"44","F13273",-0.412449950570685,0.0111876027550604
"45","F13275",-0.197529157776207,0.241247761663946
"46","F13277",-0.40901463473008,0.011951224952292
"47","F13279",-0.222023486608074,0.229973129637141
"48","F13287",-0.389131780405644,0.0172924403473619
"49","F13305",-0.0579766638239082,0.756716221101266
"50","F13315",-0.352305166304278,0.0324735278585747
"51","F13321",-0.248343230937608,0.138314792628234
"52","F37013",-0.04776352986921,0.798604833636859
"53","F37015",-0.261508864614486,0.117947611922402
"54","F37041",-0.184816251257461,0.273483575672522
"55","F37045",-0.0768239225139907,0.676012865646328
"56","F37051",-0.199731782511126,0.242842595166496
"57","F37065",-0.124530947371089,0.462729922032606
"58","F37073",-0.154196532424767,0.362182268878356
"59","F37083",-0.12514610578001,0.460505063431644
"60","F37085",-0.0928423669389856,0.584696432234408
"61","F37091",-0.350297895592031,0.0335440790115394
"62","F37093",-0.200084455525682,0.25655847863763
"63","F37101",-0.252742524360347,0.149262871880572
"64","F37107",0.0841071487719467,0.647193223208567
"65","F37117",-0.277623623623045,0.0961839301461775
"66","F37127",-0.321295729302231,0.0598328101067919
"67","F37131",-0.239209427178456,0.15389423797612
"68","F37143",-0.113554187388215,0.503377191015512
"69","F37147",-0.114213473241827,0.500886038818809
"70","F37155",-0.264832685164544,0.113181148276631
"71","F37163",-0.127413125877808,0.458981418747246
"72","F37187",-0.0565199585575514,0.739690483428886
"73","F37191",-0.044622108662829,0.808393839480447
"74","F37195",-0.111279883320713,0.512018564272038
"75","F45003",-0.339564569371687,0.0616387106654568
"76","F45005",-0.220150862733354,0.24240790640257
"77","F45009",-0.17814679126865,0.32125641784634
"78","F45011",-0.166926359222436,0.323410252905685
"79","F45017",-0.24109080689061,0.150585328753649
"80","F45027",-0.306987748155983,0.0728449828244335
"81","F45031",-0.364480079831263,0.0288521561041232
"82","F45033",-0.414709626552526,0.0107082324091867
"83","F45035",0.0979340120245232,0.600189021888319
"84","F45041",0.0358019673536821,0.8333807939803
"85","F45049",-0.291580994936696,0.0844442591782309
"86","F45061",-0.260109417185275,0.119998908840402
"87","F45067",-0.0573530639589283,0.755202711964722
"88","F45069",-0.44192419936401,0.00617339063565729
"89","F45075",-0.30328393517228,0.0680414844091496
"90","F45085",-0.187032977303041,0.281996193760019
"91","F45089",-0.38121535931623,0.0199156352818648
