"","FIPS","corr","pval"
"1","F13001",-0.407606734292603,0.0150798372458423
"2","F13003",-0.432193816098176,0.00952027127294777
"3","F13005",-0.560652984207054,0.00103584519687797
"4","F13007",0.104547521841041,0.53802517064592
"5","F13015",-0.401414143174677,0.0205924252572555
"6","F13017",-0.632280214072432,0.000103517984433797
"7","F13019",-0.43503165127476,0.011402075665869
"8","F13023",-0.235536618276741,0.194378891174112
"9","F13025",-0.604694902464452,0.000246596238661617
"10","F13027",-0.414756239998249,0.0163976039107307
"11","F13031",-0.554228296270321,0.000997208072988446
"12","F13033",-0.175017875142067,0.30016637842964
"13","F13037",-0.24033455929384,0.151909101082201
"14","F13055",-0.603050703550896,0.000125948257557164
"15","F13069",-0.608336288666201,6.48740808617569e-05
"16","F13071",-0.237698315352058,0.169140352067408
"17","F13075",-0.273641517531885,0.106332693397028
"18","F13081",-0.272658374024575,0.137810099133721
"19","F13087",-0.251856333694731,0.138390048332407
"20","F13091",-0.169594439895361,0.337620035615956
"21","F13093",-0.178960010320549,0.335413517598516
"22","F13099",-0.321245739541405,0.068315665820329
"23","F13103",-0.466561329482556,0.00710779767524756
"24","F13107",-0.49917565196702,0.00194041445865124
"25","F13109",-0.522543951409579,0.00215435213725845
"26","F13115",-0.332087110295638,0.0550086333789901
"27","F13129",-0.540633722117864,0.00079967397838716
"28","F13131",-0.555359168724126,0.000438342965485137
"29","F13147",-0.303489464761773,0.091299583470518
"30","F13153",-0.500634982702547,0.00483715514355548
"31","F13155",-0.378830941765355,0.0227007138756009
"32","F13161",-0.295494739520832,0.0897548473840193
"33","F13163",-0.0941782498527388,0.584829500179359
"34","F13165",-0.281583637432743,0.101271217507186
"35","F13167",-0.2139383859193,0.23189288247411
"36","F13173",-0.276936537129236,0.124918894033123
"37","F13175",-0.369138131743505,0.0376032866511891
"38","F13185",-0.334060886592144,0.0616733945047741
"39","F13193",-0.350073544519177,0.0363440433005665
"40","F13197",-0.546839860520259,0.000558640237429545
"41","F13201",-0.0782318804030411,0.650173025696232
"42","F13205",-0.212541905552822,0.220268857139708
"43","F13229",-0.309742243442705,0.0746402199544339
"44","F13233",-0.516459233335244,0.00293531679757581
"45","F13235",-0.102273289115014,0.590725619907668
"46","F13243",-0.341567073615023,0.0517200014486947
"47","F13251",-0.339336151542384,0.0399111095506885
"48","F13253",0.140037863042337,0.408426688530609
"49","F13261",-0.356478725347645,0.0417201758808797
"50","F13267",-0.25189674664954,0.144351142904185
"51","F13273",-0.35213212666859,0.0380278249474792
"52","F13275",-0.578117320637688,0.000342467132145087
"53","F13277",-0.364536179981282,0.0370026558878432
"54","F13279",-0.205372159174699,0.243940171069143
"55","F13287",-0.441483079069714,0.0079321912281156
"56","F13299",-0.385604792444779,0.0202001361210202
"57","F13303",-0.315570545876395,0.0736240851970107
"58","F13305",-0.518589069260036,0.00235964932879897
"59","F13311",-0.306170513342029,0.0883332292077182
"60","F13315",-0.240841105638757,0.176967012375537
