"","FIPS","corr","pval"
"1","F13001",0.273510108374808,0.117539584387931
"2","F13005",0.0244719893352565,0.89786244474636
"3","F13015",0.499101782129972,0.00265749160845474
"4","F13019",0.217377269416274,0.232046583777653
"5","F13023",0.273359798527548,0.143840116816499
"6","F13027",-0.062038978668234,0.715284711555561
"7","F13031",0.410816835121278,0.0142271592635588
"8","F13033",0.370380240600231,0.0240371694160751
"9","F13055",0.351677514310492,0.04139187894605
"10","F13069",0.285475008593494,0.0914638182689694
"11","F13087",0.063044616344102,0.736171034980227
"12","F13091",0.479388198907174,0.00476081734454962
"13","F13093",0.271699432351187,0.120085979300219
"14","F13099",0.142622332190907,0.436163540980735
"15","F13103",0.514507257410581,0.00218891433680718
"16","F13107",0.366708411417304,0.0389776155900286
"17","F13109",0.441647935464759,0.0113879572778941
"18","F13129",0.265888897538529,0.148249113425114
"19","F13131",0.167876216771049,0.327739039421435
"20","F13153",0.272762944045973,0.137653170826299
"21","F13163",0.1878911503398,0.287275183905315
"22","F13165",0.202582067342543,0.258204358801118
"23","F13167",0.29972315632005,0.0850433297283516
"24","F13175",0.261675915937167,0.134931241598382
"25","F13185",0.0248588683646308,0.896256311700422
"26","F13193",0.265239519373017,0.123579899799431
"27","F13197",0.486990449480079,0.00300891760981447
"28","F13209",0.547672704851493,0.00142754982740631
"29","F13225",0.287775336923959,0.116452732953188
"30","F13229",0.0506286432329246,0.776139659481128
"31","F13243",0.40743705175083,0.0151260775198047
"32","F13251",0.351164653488968,0.0417098777099364
"33","F13253",0.126601084441753,0.497355242354124
"34","F13261",0.309286282444701,0.0962901896576373
"35","F13267",0.291030319597569,0.085059706551221
"36","F13269",0.472912477497264,0.00544708625356144
"37","F13273",0.58296526167711,0.000190677213947461
"38","F13275",0.2005742365361,0.271022946693434
"39","F13279",0.38018936191174,0.0242658098038514
"40","F13295",0.517193859548828,0.00205553538580238
"41","F13299",0.273871686686857,0.123008728144652
"42","F37001",0.411257715130676,0.0114477849165144
"43","F37003",0.381354308221863,0.0260584931368673
"44","F37007",0.381190952749803,0.0238634027198556
"45","F37013",-0.27489837357738,0.0996305277832945
"46","F37015",-0.0956266068531222,0.573433339987576
"47","F37017",0.219214750331568,0.192374328422628
"48","F37019",-0.0691585123054429,0.716503007793402
"49","F37023",0.261663356460299,0.14130453927767
"50","F37025",0.4183154991253,0.0111188482117075
"51","F37029",-0.351851060382425,0.0327132362253102
"52","F37031",-0.531670673917766,0.00208354218354988
"53","F37033",0.303502873372072,0.076326156688185
"54","F37035",0.476011062770813,0.00290187667217885
"55","F37037",0.151376010340748,0.385368991978928
"56","F37041",-0.345914866273014,0.0524672379995318
"57","F37045",0.637289016303614,2.21910131540096e-05
"58","F37047",0.193362747753954,0.2515170938872
"59","F37049",-0.1816776215718,0.281856065016454
"60","F37051",0.232922278519301,0.165335031322638
"61","F37053",-0.240682691219027,0.157357210076214
"62","F37057",0.457205096044762,0.0044424117269564
"63","F37059",0.390321198275613,0.0169245655766326
