"","FIPS","corr","pval"
"1","F13001",-0.407606734038324,0.291474749393032
"2","F13003",-0.432193814680265,0.392663656545917
"3","F13005",-0.560652984490768,0.107445504318196
"4","F13007",0.104547522240208,0.21203202243866
"5","F13015",-0.401414142232033,0.00229153429486804
"6","F13017",-0.632280214119952,0.148006281714189
"7","F13019",-0.435031650785239,0.537074015141477
"8","F13023",-0.235536618203416,0.342041279740368
"9","F13025",-0.604694902656536,0.0728798096663904
"10","F13027",-0.414756240597727,0.246237768228741
"11","F13031",-0.554228296266079,0.021929230401427
"12","F13033",-0.175017874851941,0.640445476312364
"13","F13037",-0.240334559411662,0.322613150598408
"14","F13055",-0.603050703960537,0.0286069602911667
"15","F13069",-0.608336289074335,0.0451041362679131
"16","F13071",-0.237698315181176,0.767771619405058
"17","F13075",-0.273641518212507,0.748874631600063
"18","F13081",-0.272658374373759,0.883592239460655
"19","F13087",-0.251856334868314,0.664635343804609
"20","F13091",-0.169594439102366,0.484425139322662
"21","F13093",-0.178960010115871,0.997124816714745
"22","F13099",-0.321245738961301,0.398993516441495
"23","F13103",-0.466561330746556,0.0476294597070286
"24","F13107",-0.499175652357039,0.0591514083476705
"25","F13109",-0.522543952647264,0.0112532123306872
"26","F13115",-0.332087110258433,0.0250949431720685
"27","F13129",-0.540633722517766,0.0128109706332029
"28","F13131",-0.555359169394727,0.0243570970112769
"29","F13147",-0.303489465168821,0.0220941967630204
"30","F13153",-0.500634982540877,0.0637854650082672
"31","F13155",-0.378830941808591,0.154973601139732
"32","F13161",-0.29549473936332,0.135154506406315
"33","F13163",-0.0941782501152616,0.825424399194777
"34","F13165",-0.281583638203222,0.740382080668569
"35","F13167",-0.213938384695852,0.635948634048483
"36","F13173",-0.276936536798428,0.77570713346033
"37","F13175",-0.369138131349092,0.337622188678622
"38","F13185",-0.334060886964155,0.836610733781733
"39","F13193",-0.350073544506766,0.0334123981503904
"40","F13197",-0.5468398610859,0.00271570406805713
"41","F13201",-0.0782318793445063,0.517428686302983
"42","F13205",-0.212541905838468,0.18278470065668
"43","F13229",-0.309742242256828,0.348394071675003
"44","F13233",-0.516459232154215,4.45998853743389e-05
"45","F13235",-0.102273288685943,0.283715373374462
"46","F13243",-0.341567073414884,0.029370965830692
"47","F13251",-0.339336151228385,0.307838285232863
"48","F13253",0.140037862743153,0.506338096683758
"49","F13261",-0.356478725848586,0.227859355822367
"50","F13267",-0.251896747244813,0.783220032595865
"51","F13273",-0.35213212639913,0.0753349163227766
"52","F13275",-0.578117320793786,0.142852619028873
"53","F13277",-0.364536179355493,0.072083344017406
"54","F13279",-0.205372159459436,0.682964640169065
"55","F13287",-0.441483078401649,0.685800778686378
"56","F13299",-0.385604792554742,0.498616869889795
"57","F13303",-0.315570545913543,0.398153561403408
"58","F13305",-0.518589069491774,0.229962994856686
"59","F13311",-0.306170512932781,0.424585967936978
"60","F13315",-0.240841105798624,0.766802071599305
"61","F13321",-0.394864360304046,0.177096127024244
"62","F37001",-0.435478308954304,0.0488112442232566
"63","F37003",-0.541812663315204,0.0052760947885259
"64","F37007",-0.368490439218777,0.0790983972113039
"65","F37013",-0.393616606372406,0.807862527396821
"66","F37015",-0.611601363956696,0.195300643535621
"67","F37017",-0.386524565593452,0.046914328414046
"68","F37019",-0.324729156002004,0.689806708752062
"69","F37023",-0.261428517876777,0.00779613017164282
"70","F37025",-0.346844255549723,0.0849679079193674
"71","F37027",-0.199315155628209,0.238685052735989
"72","F37029",-0.185512337014291,0.741727645948703
"73","F37031",-0.18049926109732,0.026510391507746
"74","F37033",-0.609340879006408,0.00771820274049865
"75","F37035",-0.542138850075922,0.000364628874402325
"76","F37037",-0.558483492094594,0.179361404722342
"77","F37039",-0.173757199288575,0.175480579450871
"78","F37041",-0.557923962924805,0.31409329667837
"79","F37045",-0.466783993441193,0.0215025339788515
"80","F37047",-0.419745353197944,0.38158066534258
"81","F37049",-0.330035766700881,0.491925239332395
"82","F37051",-0.407096960904989,0.00519909568665285
"83","F37053",-0.285100743275333,0.911261256839549
"84","F37057",-0.453290312979474,0.072256370796708
"85","F37059",-0.519691907155391,0.0313642885789163
"86","F37061",-0.463469063222352,0.0991993968739493
"87","F37065",-0.638731063684159,0.0298673728738761
"88","F37067",-0.485273153216284,0.00537813757794319
"89","F37069",-0.688230338911406,0.0242702079738217
"90","F37073",-0.476387433966049,0.293099134727937
"91","F37077",-0.701831647725257,0.014967552175062
"92","F37079",-0.440075092322312,0.136111405511852
"93","F37081",-0.520003746614737,0.0136567465394252
"94","F37083",-0.613028408175441,0.0758149206723601
"95","F37089",0.223307474224232,0.228009610200498
"96","F37091",-0.597741213737442,0.173347487389222
"97","F37093",-0.510296535784924,0.0109574410833736
"98","F37095",-0.120485842598149,0.0247939405222958
"99","F37097",-0.508920657938887,0.0106136966006507
"100","F37101",-0.651880379110498,0.0195060101553429
"101","F37103",-0.311615980682764,0.122363450409913
"102","F37105",-0.616422141116252,0.094115026346232
"103","F37107",-0.406806375330489,0.203973393874518
"104","F37109",-0.490212990868848,0.0203723590594129
"105","F37117",-0.497809668899981,0.067240849020595
"106","F37125",-0.567664781472215,0.127125673954049
"107","F37131",-0.517518750586276,0.0767095515172533
"108","F37133",-0.428177670774914,0.542206484232546
"109","F37135",-0.450183784944452,0.00363615447422038
"110","F37137",-0.169244778781456,0.100506143848835
"111","F37139",-0.290398596476184,0.369937883243205
"112","F37143",-0.441237407409943,0.628552438124814
"113","F37145",-0.606047082117715,0.000715846239572904
"114","F37147",-0.505227243858393,0.117950564072728
"115","F37151",-0.524693146127026,0.146721057515535
"116","F37155",-0.521514924771547,0.046610656214032
"117","F37157",-0.510809797202246,0.0108499906963469
"118","F37159",-0.424568227110102,0.00604976289108035
"119","F37163",-0.559234355753974,0.0425296251162179
"120","F37165",-0.510299361454143,0.00326198782486835
"121","F37167",-0.430028705898409,0.0370490501628054
"122","F37169",-0.296195036044841,0.0923606175067996
"123","F37171",-0.416641064438946,0.010740801320377
"124","F37175",0.0452249387622523,0.385132618948161
"125","F37177",-0.284870487581982,0.361915955946596
"126","F37179",-0.481899880666373,0.00887239734520277
"127","F37183",-0.58541964056511,0.0271601257920648
"128","F37185",-0.70813181041876,0.00954667047976903
"129","F37187",-0.347294446439125,0.771485311690788
"130","F37191",-0.641657471407795,0.0287433322849159
"131","F37193",-0.526220650002148,0.0231533851902839
"132","F37195",-0.611576092689035,0.09908855928805
"133","F37197",-0.568985038583683,0.00338884256558913
"134","F45003",-0.610977888979375,0.0261911834427649
"135","F45005",-0.574583983740795,0.00129437116027795
"136","F45007",-0.615697988078238,1.11568875056286e-05
"137","F45009",-0.411043914908027,0.504368669079554
"138","F45011",-0.631092578426099,0.0272434196476916
"139","F45015",-0.538746669406694,0.172982886074192
"140","F45017",-0.516345051969537,0.0645499812972358
"141","F45025",-0.546473105650978,0.120000718287924
"142","F45027",-0.629171715302618,0.164635811542697
"143","F45029",-0.532543156286418,0.0678797748086794
"144","F45031",-0.585789995648452,0.336700169925309
"145","F45033",-0.349822841991024,0.0730540885475808
"146","F45035",-0.58461171780267,0.0759035471904252
"147","F45041",-0.43308952631649,0.272118181075477
"148","F45043",-0.403338354476442,0.680025791128543
"149","F45049",-0.48956956919496,0.00922069953738415
"150","F45051",-0.466112299976763,0.568565227672576
"151","F45055",-0.397500304130946,0.0172174347346727
"152","F45061",-0.608918779768558,0.130856787523224
"153","F45063",-0.566391262010731,0.254969256353215
"154","F45067",-0.479796197455782,0.12862731912395
"155","F45069",-0.498309762736096,0.0294179258128885
"156","F45071",-0.719652201986353,0.0429222839234193
"157","F45075",-0.561442829777865,0.0846544901263696
"158","F45079",-0.485980072690361,0.211673243076492
"159","F45081",-0.581202274460218,0.00985894691687107
"160","F45083",-0.602240297527273,0.00767234268259285
"161","F45085",-0.554444531768412,0.108531908928556
"162","F45089",-0.554104444959922,0.088262070105673
