"","County","Year","maytempDays90","maytempDays95","maytempDays99","juntempDays90","juntempDays95","juntempDays99","jultempDays90","jultempDays95","jultempDays99","augtempDays90","augtempDays95","augtempDays99","septempDays90","septempDays95","septempDays99","octtempDays90","octtempDays95","octtempDays99","meantemp","Average.x","sd.x","Anomaly.x","maypptDays90","maypptDays95","maypptDays99","junpptDays90","junpptDays95","junpptDays99","julpptDays90","julpptDays95","julpptDays99","augpptDays90","augpptDays95","augpptDays99","seppptDays90","seppptDays95","seppptDays99","octpptDays90","octpptDays95","octpptDays99","sumppt","Average.y","sd.y","Anomaly.y"
"18","F13001","1998",10,4,1,21,13,6,8,4,1,4,1,0,1,1,1,0,0,0,32.2642467159182,31.0714984969782,0.71333780628678,1.67206645775412,0,0,0,0,0,0,0,0,0,2,1,0,5,2,1,0,0,0,560.589577872,670.225085274081,150.080870168965,-0.730509539814435
"19","F13001","1999",0,0,0,0,0,0,4,2,0,10,6,3,6,4,2,0,0,0,31.0104233692266,31.0714984969782,0.71333780628678,-0.0856188010972272,0,0,0,2,2,1,2,2,1,1,1,0,2,1,0,1,0,0,637.124224707,670.225085274081,150.080870168965,-0.220553495790736
"20","F13001","2000",10,4,1,3,1,0,5,3,2,2,2,0,0,0,0,1,0,0,31.2660824414491,31.0714984969782,0.71333780628678,0.272779520103902,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,499.378873527,670.225085274081,150.080870168965,-1.13836101532952
"21","F13001","2001",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4243462112004,31.0714984969782,0.71333780628678,-0.907217141828668,0,0,0,1,1,0,2,1,0,2,0,0,0,0,0,0,0,0,488.067324099,670.225085274081,150.080870168965,-1.21373071044966
"22","F13001","2002",6,3,0,2,2,0,3,1,0,3,0,0,2,1,0,7,4,2,31.212062681371,31.0714984969782,0.71333780628678,0.19705135933348,1,1,0,1,1,0,1,0,0,5,2,0,2,0,0,1,0,0,847.450563538,670.225085274081,150.080870168965,1.18086654258063
"23","F13001","2003",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.2381038779652,31.0714984969782,0.71333780628678,-1.1683028877317,1,1,0,4,1,1,3,2,1,2,1,1,1,1,0,1,1,0,974.723380735,670.225085274081,150.080870168965,2.02889478930996
"24","F13001","2004",10,6,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,30.8938730082772,31.0714984969782,0.71333780628678,-0.249006133048867,1,0,0,3,2,0,1,0,0,1,1,1,6,4,2,0,0,0,1029.608169435,670.225085274081,150.080870168965,2.39459621840089
"25","F13001","2005",0,0,0,0,0,0,0,0,0,2,1,0,6,5,2,5,1,0,30.87428032235,31.0714984969782,0.71333780628678,-0.276472342963097,1,0,0,2,1,1,6,4,1,2,1,1,0,0,0,1,0,0,812.786901907,670.225085274081,150.080870168965,0.949899987069762
"26","F13001","2006",6,4,0,2,1,0,4,2,0,10,4,0,0,0,0,7,1,0,31.3744735211152,31.0714984969782,0.71333780628678,0.424728678988869,0,0,0,2,1,1,0,0,0,2,1,0,3,2,1,0,0,0,550.285634298,670.225085274081,150.080870168965,-0.799165482190033
"27","F13001","2007",0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,1,0,0,31.1621780490408,31.0714984969782,0.71333780628678,0.12712007027164,0,0,0,1,1,1,4,2,0,4,3,0,2,1,0,1,1,0,788.270000402,670.225085274081,150.080870168965,0.786542048930157
"28","F13001","2008",0,0,0,0,0,0,1,0,0,3,1,0,2,0,0,1,1,0,30.5714507797928,31.0714984969782,0.71333780628678,-0.70099707709083,1,1,1,0,0,0,1,0,0,2,2,0,0,0,0,3,2,1,731.876337147,670.225085274081,150.080870168965,0.410786876458739
"29","F13001","2009",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,4,1,30.3512625524914,31.0714984969782,0.71333780628678,-1.00967022655913,5,2,1,2,0,0,0,0,0,2,1,0,2,1,0,1,0,0,802.428873104,670.225085274081,150.080870168965,0.880883670790821
"30","F13001","2010",1,0,0,7,2,0,9,6,2,8,3,1,11,8,3,4,2,0,32.646311859813,31.0714984969782,0.71333780628678,2.2076684411728,2,2,0,2,0,0,0,0,0,2,1,0,1,1,0,0,0,0,650.077182623,670.225085274081,150.080870168965,-0.134246973837491
"31","F13001","2011",14,10,5,15,10,1,2,0,0,17,11,1,9,4,1,1,0,0,32.3059118183858,31.0714984969782,0.71333780628678,1.73047511365366,1,0,0,1,1,1,3,2,0,2,1,0,1,0,0,1,0,0,584.93422518,670.225085274081,150.080870168965,-0.568299344200617
"32","F13001","2012",6,2,0,1,0,0,5,4,0,0,0,0,1,0,0,3,1,0,30.8103384069336,31.0714984969782,0.71333780628678,-0.366109980072438,4,1,1,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,743.535211536,670.225085274081,150.080870168965,0.488470823625851
"33","F13001","2013",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,29.8649029251409,31.0714984969782,0.71333780628678,-1.69147851298968,1,1,0,4,1,1,4,2,0,6,3,0,0,0,0,0,0,0,856.700985628,670.225085274081,150.080870168965,1.24250279295408
"34","F13001","2014",1,0,0,0,0,0,0,0,0,6,4,2,7,4,1,8,6,0,31.3723832792982,31.0714984969782,0.71333780628678,0.421798451824939,1,1,0,1,1,0,1,0,0,2,0,0,2,1,0,1,0,0,597.393943411,670.225085274081,150.080870168965,-0.485279314952569
"35","F13001","2015",5,1,0,7,4,0,2,0,0,1,0,0,1,1,0,1,0,0,31.368890302282,31.0714984969782,0.71333780628678,0.416901785777787,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,1,0,0,546.503803024,670.225085274081,150.080870168965,-0.824364105237343
"36","F13001","2016",0,0,0,5,2,0,5,0,0,3,0,0,2,1,0,2,1,0,31.9721797972607,31.0714984969782,0.71333780628678,1.26262941953258,2,1,0,1,1,0,2,0,0,0,0,0,2,2,0,1,1,1,732.972113172,670.225085274081,150.080870168965,0.418088113610193
"37","F13001","2017",5,2,0,0,0,0,0,0,0,0,0,0,2,0,0,5,3,0,30.7233263855687,31.0714984969782,0.71333780628678,-0.488088684408707,2,1,0,0,0,0,4,2,1,1,0,0,2,2,1,0,0,0,815.0720987,670.225085274081,150.080870168965,0.965126423259979
"38","F13003","1981",2,1,0,11,8,0,18,10,4,0,0,0,3,0,0,5,4,0,31.5401577106491,31.2271197879053,0.656100337144207,0.477118978640249,2,1,0,0,0,0,3,3,1,1,0,0,0,0,0,1,0,0,489.500816415,623.640886918595,118.139130426326,-1.13544149190473
"39","F13003","1982",2,1,0,1,0,0,0,0,0,0,0,0,2,0,0,3,3,1,31.0771040254287,31.2271197879053,0.656100337144207,-0.228647592424132,0,0,0,5,0,0,2,2,0,0,0,0,1,0,0,0,0,0,614.064693711,623.640886918595,118.139130426326,-0.0810586058407335
"40","F13003","1983",0,0,0,0,0,0,10,0,0,9,8,2,8,5,0,4,2,0,31.2857494392327,31.2271197879053,0.656100337144207,0.0893608004875992,0,0,0,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,454.110204348,623.640886918595,118.139130426326,-1.43500872199426
