"","County","Quant90","Quant95","Quant99"
"90%158","F45083",14.141360626,19.07677049,32.9673410484
"90%159","F13193",17.339034546,23.005724046,38.1434550394
"90%160","F13007",18.562041708,24.517041666,33.9855375389999
"90%161","F13083",17.616307665,23.843192178,38.5783077617002
"90%162","F13095",19.870813333,26.91673329,44.4599200814
"90%163","F13205",18.97313155,24.256105222,40.0497420896
"90%164","F13253",18.61628565,25.20571429,39.1399140850001
"90%165","F13249",17.288538392,22.131000056,37.8094766136
"90%166","F37041",22.264277818,31.7632777485,50.3564887077
"90%167","F13151",16.83465214,22.708782526,38.1722434866
"90%168","F37073",20.464963735,29.4936309375,43.9155744345
"90%169","F13269",17.020075513,21.5499622045,33.7210772729
"90%170","F37139",24.67546518,30.675441816,63.5048186816
"90%171","F37075",16.443888885,23.19034997,41.039388798
"90%172","F37039",16.08774443,20.988111248,38.3081945371999
"90%173","F37019",22.05587495,28.633187406,46.7485156996
"90%174","F37083",20.686829648,28.013537037,40.2939259146
"90%175","F37099",14.385216221,18.177506751,37.12000268
"90%176","F37185",20.559910113,27.824789698,38.4141783757
"90%177","F37131",21.394921375,28.3549100945,44.1498035384
"90%178","F13033",17.716427374,20.979709374,31.8460683519999
"90%179","F13291",17.797673448,25.2817143,41.83421248
"90%180","F13293",17.28866664,23.06600007,42.2044892379999
"90%181","F13297",18.029434861,25.091619598,40.3549803871001
"90%182","F13303",17.243165021,23.503170183,35.0886298437
"90%183","F13305",15.953402086,21.920999906,36.615797893
"90%184","F13019",16.491753777,22.0237537955,38.1862493913
"90%185","F13309",14.282681867,20.2556010485,32.7324842203
"90%186","F13073",16.227799966,23.8013333175,40.4197177497
"90%187","F13091",16.2025352,22.053239445,35.6531491678
"90%188","F13135",17.996619048,24.2494746645,41.4715253282001
"90%189","F13085",19.854607236,28.781874855,53.3386786756
"90%190","F13167",14.633999972,20.289409124,33.6380909804
"90%191","F13163",15.600947346,22.207842038,33.6713525456
"90%192","F37009",14.99007818,21.7464843525,40.8874685545
"90%193","F13103",16.174289836,21.4391015,32.9814028756
"90%194","F13173",17.412230742,22.103923062,36.9556614076
"90%195","F13119",18.32658536,25.57756108,45.3248779475
"90%196","F37021",12.074959159,17.184086737,28.7383907577
"90%197","F37023",15.494189225,22.48118238,39.635405431
"90%198","F37111",14.799257534,19.778045426,38.499506021
"90%199","F13271",14.88336513,19.916380948,31.0944634623999
"90%200","F13105",17.37696419,23.88589287,45.8197855739998
"90%201","F13185",16.08538459,21.62761532,34.6156915129999
"90%202","F13263",16.509327601,22.400413887,41.7299982674
"90%203","F37047",19.163771448,27.259268604,41.1211556706
"90%204","F13139",17.652369209,24.592615353,44.6824584299
"90%205","F13153",15.170655722,20.431459052,33.3613016074
"90%206","F13229",17.928367344,27.4693999659999,38.9829697436
"90%207","F13155",15.106716948,19.987773524,37.830196252
"90%208","F13181",16.713684065,23.0517764025,38.4088818195001
"90%209","F13183",16.59929832,22.727824516,37.0814316015999
"90%210","F13207",16.961821292,21.160860638,44.7080283936
"90%211","F13219",19.242612831,26.6958548495,41.7085387708
"90%212","F13225",17.873900092,23.000205243,44.5420799341999
"90%213","F13239",19.611307534,24.39149991,39.0547145228
"90%214","F13243",18.770375054,25.4549218355,40.1764907780002
"90%215","F37033",18.836218692,24.249174906,40.2059750516
"90%216","F37089",15.221654591,19.927645452,41.5822382763
"90%217","F13259",18.548523054,24.835507778,38.9153168204
"90%218","F13159",17.477584859,24.6993583405,48.4266943234999
"90%219","F13117",19.154642815,24.9491072125,56.1071426035
"90%220","F37071",15.628941186,20.551886397,38.1938860883999
"90%221","F37177",22.981168503,30.974213404,47.9675626452
"90%222","F37059",17.658825095,25.5487625715,39.1464126699
"90%223","F13265",17.191142755,22.752946386,34.9471715254
"90%224","F13279",15.560153766,21.240038486,33.68961546
"90%225","F13285",18.164637687,25.43448561,43.7263391895999
"90%226","F13289",15.62105763,20.597211625,35.4312885530003
"90%227","F13223",17.478136422,23.8580568585,42.8871798118001
"90%228","F13113",17.83085185,23.78238884,51.6058522052
"90%229","F13157",17.76009628,26.1800673395,36.0163286923
"90%230","F13287",15.389695698,20.8759782955,34.3635869338
"90%231","F13031",15.639740049,22.59605998,35.9479098112
"90%232","F13187",19.441357142,26.4579167295,54.2463405493
"90%233","F13255",17.306125077,24.775343822,39.4679093060003
"90%234","F13281",15.799916576,25.1597917224999,42.1521290273
"90%235","F13319",15.361090884,21.318893968,35.2241273774
"90%236","F13177",17.983510232,23.34682651,35.449098936
"90%237","F13267",16.174428652,20.398557125,36.2210049852
"90%238","F13197",18.149254896,24.593254795,36.2208627766
"90%239","F13039",16.43347372,21.64705255,32.8808000359999
"90%240","F37011",17.181405422,24.446729769,40.0979026502
"90%241","F13045",17.439749992,23.77519442,46.7961110919999
"90%242","F13129",16.453425945,23.1454630225,40.37925921
"90%243","F13241",17.26965093,26.38542459,49.7746790950001
"90%244","F13175",15.433545242,20.462564114,32.295931636
"90%245","F13251",16.234119574,21.8420272385,40.5184468487001
"90%246","F13301",17.219219462,24.190341712,42.4620926190001
"90%247","F37141",21.888864998,29.44302704,50.1314774356
"90%248","F13043",20.16157142,27.7852858075,37.7163000255
"90%249","F13071",18.731241045,24.1446506105,38.6776929643
"90%250","F37035",16.00172885,24.499017018,41.4010507111998
"90%251","F45015",19.26176274,25.531802181,43.7926913454
"90%252","F45037",16.19189188,22.881101485,35.0763377580001
"90%253","F45075",17.632393915,22.9519393925,43.701518126
"90%254","F13137",18.404595238,24.2856189735,44.8175167187
"90%255","F45071",15.214133407,20.7207889235,35.3143854643
"90%256","F13165",17.984615368,25.377115412,34.5332768648
"90%257","F13005",17.009190476,22.4325773725,41.3067880412
"90%258","F37119",17.338543175,22.973290131,38.1098605508
"90%259","F37127",20.535399988,27.334875118,41.3261298912
"90%260","F37115",14.69484778,19.782179156,30.7898986450001
"90%261","F37167",20.29121308,28.631311324,48.7910033698
"90%262","F13191",16.722499925,21.4633088,35.6243750425
"90%263","F13245",15.562595712,21.654319127,33.5667787444
"90%264","F13317",17.181594204,21.455912996,35.8665797099998
"90%265","F13079",15.331191468,18.9970425145,35.5562618643
"90%266","F37055",21.02423528,28.205225495,44.9357362032
"90%267","F13047",20.330260774,30.145739373,50.3104782636
"90%268","F13067",17.624085158,26.276723438,42.9203659723999
"90%269","F37195",22.01981134,31.17547181,51.2660188719997
"90%270","F45063",16.59537843,21.546869388,38.0966270170999
"90%271","F13055",15.989839998,23.407120056,36.6777080130001
"90%272","F45069",18.547643812,25.6293630745,41.6474575303
"90%273","F37061",21.913008416,29.912470628,47.4259730872
"90%274","F45011",17.751524984,24.02242498,42.3106600555999
"90%275","F13075",16.684114332,21.8084828695,33.9205115267
"90%276","F13209",14.422166772,20.35399983,33.4294832726
"90%277","F13027",18.962749954,25.51535293,36.9284264142
"90%278","F13051",16.765647093,23.527822854,39.8109836169
"90%279","F13061",19.271241302,25.918000004,37.7604417308
"90%280","F13215",18.001903038,24.5939062355,46.5018564551001
"90%281","F13321",16.27303797,21.907620275,35.9906872675
"90%282","F13025",17.45174594,23.405476215,35.2646826
"90%283","F45021",15.495841248,21.103434874,36.0014095692
"90%284","F37117",20.119000017,28.8925361825,45.3356261629001
"90%285","F45067",19.009361062,28.521125081,45.0256835344
"90%286","F13237",16.114700066,21.6754898965,37.6807719129999
"90%287","F13257",18.574461514,26.2203846,50.1574305463999
"90%288","F13011",17.49812504,26.378031193,39.6323185304
"90%289","F37183",17.473825496,24.489349192,47.2331270604001
"90%290","F37105",19.922871931,27.491435693,44.6740768941
"90%291","F37015",19.779401927,29.7047896465,50.7317916015999
"90%292","F37159",17.78535619,23.978520622,38.6928231141
"90%293","F37001",20.117142885,26.544714272,45.0597907934
"90%294","F13145",17.060649938,23.974954577,36.8234620622
"90%295","F13273",17.489333382,24.020705906,47.4463921252
"90%296","F13221",15.965107693,26.4151691875,38.5349199772
"90%297","F37123",18.077090916,24.935675273,38.8903742061999
"90%298","F37179",18.832783278,26.475208305,42.2672603145999
"90%299","F37029",24.195688874,30.668355581,53.7836012943999
"90%300","F45079",16.273750048,20.725696442,35.2259856652
"90%301","F37013",19.492489231,26.039625867,48.7741338783999
"90%302","F13315",15.271807952,21.240470612,31.3674980772
"90%303","F45017",17.9564407,25.902966055,42.579915245
"90%304","F13283",15.34057149,20.0994642689999,35.7883035795
