"","County","Quant90","Quant95","Quant99"
"90%","F13143",31.3022291416076,32.5255708252512,33.7870834387803
"90%1","F13023",33.7004544781101,34.5774755785542,35.8305714921028
"90%2","F13261",33.6205819712744,34.4670604017046,35.9886021036572
"90%3","F13199",32.6072122521596,33.3828937608902,34.8611820942082
"90%4","F13097",31.8531964598031,32.7887380599976,34.3071433823684
"90%5","F13077",32.300109400068,33.1593667166573,34.5678828593663
"90%6","F13059",32.3860938429833,33.2672843575478,34.6416310071945
"90%7","F13015",32.222552455099,33.4964335918426,35.1137118500157
"90%8","F37157",31.8792145654057,33.1008483865288,34.3827945374907
"90%9","F13087",34.2078156069101,34.9452301370092,36.1545325865228
"90%10","F13169",33.4527984356058,34.2741683072057,35.5835488036583
"90%11","F45045",31.5961334738238,32.5224564026142,33.6336608099115
"90%12","F37069",31.8207867622375,33.1430679321289,35.3677663948662
"90%13","F37151",31.9212541219351,33.0767477413555,34.7793654910938
"90%14","F37197",31.1835542639096,32.3879397233327,33.9969323245685
"90%15","F45009",33.3410622629626,34.2078379959896,35.4272472506556
"90%16","F13277",33.3692463312393,34.1822550455729,35.3743609961486
"90%17","F13211",32.8712055573096,33.6905920982361,35.2962843542832
"90%18","F13013",32.0399957180024,32.9463292360306,34.4495274702708
"90%19","F13037",33.5791665590727,34.4071499457726,35.6144666035971
"90%20","F13195",32.222808332701,33.0993716987404,34.3246194251808
"90%21","F13093",33.7828982303017,34.6018719790274,35.8078400829382
"90%22","F37003",31.0445923566818,32.1034686899185,33.4267883272171
"90%23","F13189",33.1063025022807,33.9727250450536,35.212533561305
"90%24","F13131",33.6020797010781,34.2928049889164,35.5627382538284
"90%25","F13111",29.9015308622881,30.7187963485718,32.2436195917996
"90%26","F13021",33.6200888279506,34.3731342533657,35.6743038733346
"90%27","F37133",31.7612172477266,32.6158849911812,34.2603846603785
"90%28","F13235",33.8951832559374,34.8508442772759,36.1188517983755
"90%29","F13035",32.888848200152,33.7932468783471,35.3110787570092
"90%30","F13171",32.8042253494263,33.6655645052592,35.1096287329992
"90%31","F37135",32.0407116508484,33.334324092865,35.1184013544719
"90%32","F37025",32.7957914320089,33.7571329537085,35.0831515800347
"90%33","F37097",31.6291108442389,32.5388293349225,33.7898596950199
"90%34","F37169",31.2559613827297,32.4708343982697,33.7165013683864
"90%35","F13109",33.6249240570068,34.3999498748779,35.7394772003174
"90%36","F45023",32.8004110813141,33.6663168501854,34.9425246973037
"90%37","F37081",31.6791264646193,32.9849361999362,34.3267064760246
"90%38","F13003",33.6601777757917,34.488847129199,35.5592071159518
"90%39","F13201",34.2261038410421,34.9738255247778,36.3265988634071
"90%40","F13081",33.7306708888004,34.4812975732904,35.7445625756916
"90%41","F13069",33.7341150856018,34.4984381270409,35.6708914618492
"90%42","F13017",33.595397122701,34.3344224770864,35.4939131259918
"90%43","F13053",33.5331057548523,34.2874928792318,35.583333457311
"90%44","F13149",32.4681845474244,33.4142444822523,34.926199367947
"90%45","F37145",31.9216745134384,33.2711150820293,34.799341339838
"90%46","F37181",31.9069954511854,33.2169545110066,35.0218428319295
"90%47","F13217",32.655570937366,33.5107964073739,35.1308569270808
"90%48","F37107",32.2559296509315,33.104395711833,35.0762681362547
"90%49","F37045",32.0716657183063,32.9064744636194,34.2561131212605
"90%50","F45087",33.0497662570025,33.9164461548264,35.1597868476043
"90%51","F37175",27.6279411520277,28.4649750334876,29.8030597673144
"90%52","F37049",32.018512384515,32.9044286142316,34.8000545829639
"90%53","F13089",31.9338873958588,32.9370398044586,34.4254309749604
"90%54","F13311",29.8170354966194,30.6101644915919,31.9794723609186
"90%55","F13115",32.6420338553352,33.818496008177,35.6092742089968
"90%56","F37065",32.1850558217367,33.1957633514404,35.5860838567098
"90%57","F13213",31.8519313635649,32.8873565567864,34.7189483935745
"90%58","F37027",30.3643405941949,31.3892057377359,32.6808506863359
"90%59","F37147",32.2738166093826,33.3016546924909,35.1917534951369
"90%60","F45041",33.1123025466656,33.9252981136585,35.657430430774
"90%61","F45081",33.4193970380511,34.2986148997716,35.8284852627346
"90%62","F37103",32.007869073035,32.9154823827072,34.7749835984136
"90%63","F13295",31.8938589627626,33.1139073309351,34.6654419958396
"90%64","F13179",33.0730667326185,33.8157624986437,35.0953843319606
"90%65","F45007",32.5514813150678,33.3435315915517,34.5993675252369
"90%66","F13161",33.5503755696614,34.3476123385959,35.6447273991902
"90%67","F37067",31.6166029475286,32.7259000264681,34.3245433044434
