"","County","Quant90","Quant95","Quant99"
"90%","F13143",17.2346341,22.881463365,36.72485381
"90%1","F13023",16.551516233,22.073708208,39.4069772960001
"90%2","F13261",14.54430551,19.89621528,36.703736274
"90%3","F13199",15.072082126,22.289712394,41.9843151258
"90%4","F13097",17.305551689,22.851344903,39.5107344518001
"90%5","F13077",17.794952364,23.9057143509999,40.1319352341999
"90%6","F13059",20.050000102,26.2543750665,49.3708687537
"90%7","F13015",16.569171077,23.1051684265,37.592188192
"90%8","F37157",18.854943869,27.107813573,61.0974125258998
"90%9","F13087",16.311397612,22.352144628,37.9144867132
"90%10","F13169",16.810551766,24.209689636,38.3745999136
"90%11","F45045",14.935965555,23.244974282,45.9778903588001
"90%12","F37069",24.18171054,33.23289462,49.6152105199999
"90%13","F37151",18.28675681,25.49198196,51.6189964379997
"90%14","F37197",17.123875054,27.638874941,56.266916962
"90%15","F45009",20.9932759,27.63724136,41.6050690359999
"90%16","F13277",16.972999992,23.168884652,36.5086050079
"90%17","F13211",18.585134599,26.04269227,43.069894145
"90%18","F13013",21.714166565,29.4855209825,46.2140625475
"90%19","F13037",16.70128196,23.01435896,41.0611794579998
"90%20","F13195",18.66027023,25.48918914,44.190000175
"90%21","F13093",14.076877254,20.416701762,39.8634669131999
"90%22","F37003",18.162650012,24.646199882,54.3615101672
"90%23","F13189",20.018894754,25.9928947839999,45.1580419955999
"90%24","F13131",15.695797072,22.04811593,39.7035595244
"90%25","F13111",17.188060002,24.5034636465,44.2852108247
"90%26","F13021",16.62628572,25.54599999,40.844022742
"90%27","F37133",26.585059748,34.245832986,58.8294479620997
"90%28","F13235",15.651833372,23.2632776659999,41.3916781428001
"90%29","F13035",16.850709688,21.865419526,37.6963355032
"90%30","F13171",15.546958229,23.787666563,38.4077832396
"90%31","F37135",19.856233351,24.9290999185,50.6878148533
"90%32","F37025",18.466779688,26.8043728565,55.7729067405997
"90%33","F37097",16.989956528,24.173739184,38.1737759802
"90%34","F37169",19.11099998,26.588978565,50.85221436
"90%35","F13109",20.41359993,33.178000125,51.433199925
"90%36","F45023",21.613650086,26.922593749,43.2731513475001
"90%37","F37081",17.653627526,23.815843246,46.9416293930001
"90%38","F13003",18.60071422,24.098367305,32.591796087
"90%39","F13201",17.876857192,24.118265131,41.5623796078001
"90%40","F13081",15.26289472,21.4728947025,42.7824210210001
"90%41","F13069",18.039374956,24.163050027,36.675190129
"90%42","F13017",16.261277684,23.02255566,37.8317443582
"90%43","F13053",16.619944376,22.021361018,33.4797499341997
"90%44","F13149",17.962088946,26.222888808,41.029946834
"90%45","F37145",17.957793666,28.4591269265,54.7660142448
"90%46","F37181",19.527111145,28.930166675,54.883044445
"90%47","F13217",17.063048736,25.231146072,39.5023583272
"90%48","F37107",22.41043096,35.4762500175,57.14681024
"90%49","F37045",17.842910402,25.7189328235,55.0587178460998
"90%50","F45087",17.264027014,25.034067528,45.6590187663999
"90%51","F37175",18.081928669,27.3348838585,63.7483338130002
"90%52","F37049",21.736754393,32.710380561,64.0590517955003
"90%53","F13089",17.619550014,23.231300052,39.8839200232
"90%54","F13311",23.118238704,38.4526126749999,61.3666838025996
"90%55","F13115",16.321621609,23.183439286,44.4193134815999
"90%56","F37065",24.184344072,36.7740800499999,58.349584216
"90%57","F13213",14.44129626,20.54185178,37.6362406740001
"90%58","F37027",16.41750718,23.800289832,43.8372751307999
"90%59","F37147",24.13271874,32.866510435,65.8916221154999
"90%60","F45041",21.232112,29.4252155775,49.037099105
"90%61","F45081",19.521885744,28.09219996,47.843682752
"90%62","F37103",24.447183145,35.721197205,70.6798592225
"90%63","F13295",17.105639368,22.8608852105,37.153564004
"90%64","F13179",19.028520669,28.518190565,44.756530222
"90%65","F45007",16.71665181,22.6460625575,38.7633435339999
"90%66","F13161",21.088222215,27.986277815,44.9578445285
"90%67","F37067",18.060753839,24.8330615405,56.0680616464001
"90%68","F37191",21.834069056,29.624321876,55.2366115079999
"90%69","F37017",20.102757577,27.4999998725,50.4525720139
"90%70","F45047",19.18602939,25.678970625,40.637867615
"90%71","F37149",19.448611196,32.128144572,65.7016221583996
"90%72","F37121",13.25852947,16.91617667,33.5538237
"90%73","F37053",24.270165618,30.967706808,54.3837380145998
"90%74","F13107",20.263047507,26.942449573,43.2310706496999
"90%75","F13127",22.64016668,29.57116669,47.6550999912
"90%76","F45019",22.866044285,32.7439240625,52.540430424
"90%77","F45091",16.566733358,24.0665238815,50.230750623
"90%78","F45053",22.81000005,27.69499998,44.5225622319997
"90%79","F45013",24.916301882,33.0194055599999,48.1491867336
"90%80","F37109",17.442448998,24.2808194145,53.0986224653999
"90%81","F37087",13.826249988,19.1285297715,34.1450177925001
"90%82","F45025",20.317533884,27.1432245705,52.8013719600999
"90%83","F45035",21.38570368,29.919012396,49.7661209444
"90%84","F45027",22.406242355,28.7868637015,48.5930363665
"90%85","F45031",22.385730711,31.387461565,51.2607627315
"90%86","F45033",21.12598289,30.9205425495,47.0558169826
"90%87","F13049",19.42495565,25.60070801,46.2353274819999
"90%88","F37063",19.87897725,25.47303421,46.7126592185
"90%89","F13001",21.609464824,30.91039443,46.9622308531998
"90%90","F45043",23.594243882,30.27115439,61.9007708508
"90%91","F37079",23.875428827,31.9383685165,58.886434233
"90%92","F37101",23.174621876,30.7297983039999,50.61637976
"90%93","F37129",25.225187528,35.800000028,78.0733812984
"90%94","F45049",21.03585368,27.4997561559999,41.8140682919999
"90%95","F37037",17.834100854,27.535192602,58.7874587223999
"90%96","F45057",20.041621921,31.9168523915,47.9069364429999
"90%97","F45061",22.116338557,29.217587639,50.0593169299998
"90%98","F13233",18.707372092,25.1455465145,47.0544537445
"90%99","F13247",17.92349997,23.42350006,37.493500156
"90%100","F37153",20.427690144,29.605943648,49.4968507882
"90%101","F37165",22.844086919,27.3403913515,42.4302414442002
"90%102","F45065",18.310214267,23.5837678965,50.2229678685
"90%103","F45077",18.326972968,28.127445916,50.4709944965999
"90%104","F45085",20.55551009,28.97326536,49.0149796579998
"90%105","F37057",16.771524963,24.251693707,50.3148457064001
"90%106","F45005",21.00689655,27.86586202,43.4862414999999
"90%107","F37007",21.7793671,28.78936714,56.6484301399998
"90%108","F45001",15.265530717,23.02697339,42.3150719332001
"90%109","F45089",22.933644612,29.2943138785,48.5960788197
"90%110","F45003",17.405088563,23.043207288,42.2119747205001
"90%111","F13057",18.596281178,24.3566953224999,43.7301406081
"90%112","F45051",24.278322526,31.299096926,48.8472542792
"90%113","F13121",16.082682144,21.002609625,36.1638014743
"90%114","F13125",20.001727209,27.7337498825,51.4911680126
"90%115","F13063",19.427750071,28.0559249765,44.1143052084
"90%116","F37161",15.474117716,25.926431237,46.0435894064999
