"","County","Year","NumpptDays90","County1","NumpptDays95","County2","NumpptDays99","sumppt","Average","sd","Anomaly"
"3599","F13197","1990",1,"F13197",1,"F13197",0,369.533529565,585.371737139919,155.048138284388,-1.39207222971636
"3600","F13197","1991",3,"F13197",1,"F13197",0,593.599019813,585.371737139919,155.048138284388,0.0530627633721777
"3601","F13197","1992",0,"F13197",0,"F13197",0,509.033724972,585.371737139919,155.048138284388,-0.492350395255313
"3602","F13197","1993",0,"F13197",0,"F13197",0,409.490589318,585.371737139919,155.048138284388,-1.13436478353142
"3603","F13197","1994",1,"F13197",0,"F13197",0,957.550588426,585.371737139919,155.048138284388,2.40040838544887
"3604","F13197","1995",0,"F13197",0,"F13197",0,457.76843073,585.371737139919,155.048138284388,-0.822991541993688
"3605","F13197","1996",2,"F13197",2,"F13197",1,469.073724981,585.371737139919,155.048138284388,-0.750076804828228
"3606","F13197","1997",0,"F13197",0,"F13197",0,598.849607901,585.371737139919,155.048138284388,0.0869270080261147
"3607","F13197","1998",0,"F13197",0,"F13197",0,631.134509657,585.371737139919,155.048138284388,0.295152028418061
"3608","F13197","1999",2,"F13197",1,"F13197",0,536.367255205,585.371737139919,155.048138284388,-0.31605978941221
"3609","F13197","2000",0,"F13197",0,"F13197",0,404.764706089,585.371737139919,155.048138284388,-1.16484488655808
"3610","F13197","2001",0,"F13197",0,"F13197",0,488.524705446,585.371737139919,155.048138284388,-0.624625569616856
"3611","F13197","2002",0,"F13197",0,"F13197",0,734.053136795,585.371737139919,155.048138284388,0.958937019820071
"3612","F13197","2003",3,"F13197",1,"F13197",0,870.753334158,585.371737139919,155.048138284388,1.84059995931481
"3613","F13197","2004",1,"F13197",1,"F13197",0,902.907254933,585.371737139919,155.048138284388,2.04798020348145
"3614","F13197","2005",2,"F13197",2,"F13197",0,750.974118304,585.371737139919,155.048138284388,1.06807074884275
"3615","F13197","2006",1,"F13197",1,"F13197",0,463.063725542,585.371737139919,155.048138284388,-0.788838956412251
"3616","F13197","2007",0,"F13197",0,"F13197",0,519.244117833,585.371737139919,155.048138284388,-0.42649734488026
"3617","F13197","2008",1,"F13197",1,"F13197",1,610.240588228,585.371737139919,155.048138284388,0.160394386951405
"3618","F13197","2009",1,"F13197",0,"F13197",0,717.325881741,585.371737139919,155.048138284388,0.851052750849881
"3619","F13197","2010",2,"F13197",1,"F13197",1,600.410196272,585.371737139919,155.048138284388,0.0969921941564866
"3620","F13197","2011",0,"F13197",0,"F13197",0,446.829608277,585.371737139919,155.048138284388,-0.893542679040791
"3621","F13197","2012",0,"F13197",0,"F13197",0,614.382940739,585.371737139919,155.048138284388,0.187110944511111
"3622","F13197","2013",1,"F13197",1,"F13197",0,763.1972552,585.371737139919,155.048138284388,1.14690521297273
"3623","F13197","2014",1,"F13197",1,"F13197",0,569.528431455,585.371737139919,155.048138284388,-0.10218314041191
"3624","F13197","2015",1,"F13197",1,"F13197",0,647.079412062,585.371737139919,155.048138284388,0.397990428036597
"3625","F13197","2016",0,"F13197",0,"F13197",0,441.940980276,585.371737139919,155.048138284388,-0.925072422352079
"3626","F13197","2017",5,"F13197",3,"F13197",0,831.204470503,585.371737139919,155.048138284388,1.58552521870451
