"","County","Quant90","Quant95","Quant99"
"90%","F13143",30.2315902058671,31.0273121670979,32.2253659569345
"90%1","F13023",32.8563161296229,33.6885678568194,35.0318840002244
"90%2","F13261",32.6947083473206,33.7129583676656,34.9007089296977
"90%3","F13199",31.2068355769327,32.0533246393073,33.2606835665768
"90%4","F13097",30.4319448405299,31.2140483001183,32.3825540555757
"90%5","F13077",30.8427619691879,31.6099887999277,32.8106185150147
"90%6","F13059",31.1488000392914,32.0911624193192,33.2586724996567
"90%7","F13015",30.7006210527922,31.5213118728839,32.5909527035763
"90%8","F37157",30.5172538585877,31.2563943948639,32.6488221054934
"90%9","F13087",33.7179203998612,34.3325012988355,35.2851525952443
"90%10","F13169",32.4369688757535,33.483327701174,34.523654758848
"90%11","F45045",30.3245224459418,30.9948887463273,32.2730542620297
"90%12","F37069",31.0492447049994,31.9066249772122,33.0792854921441
"90%13","F37151",30.6760432303489,31.5259712631638,32.6996478278358
"90%14","F37197",30.1025500218074,30.7853855411211,32.1553628150622
"90%15","F45009",33.1858413170124,33.8936275745261,35.4050901583968
"90%16","F13277",32.8546972225874,33.5888536599966,34.617893639589
"90%17","F13211",31.6447615183317,32.593157687554,33.7679343795777
"90%18","F13013",30.9874416987101,31.8249583164851,32.9451622867584
"90%19","F13037",32.7652512183556,33.5403205773769,34.6755724706405
"90%20","F13195",30.8513513719713,31.6861945023408,32.91338160953
"90%21","F13093",32.9798878050687,33.9117893955164,35.0311934260318
"90%22","F37003",29.8120499897003,30.6472500896454,32.0785589294434
"90%23","F13189",31.9595107530293,32.8648524936877,34.0523999967073
"90%24","F13131",33.2094145180523,33.8614711153334,34.7660527856799
"90%25","F13111",28.288847247037,29.0040218075839,30.2423250780972
"90%26","F13021",32.6457601274763,33.6519371141706,34.7788525674002
"90%27","F37133",30.6981452974498,31.3768195649497,33.0440071836292
"90%28","F13235",33.0586111068726,33.8885470920139,35.1974826791551
"90%29","F13035",31.9486904513451,32.7722517075077,33.8762224972633
"90%30","F13171",31.7383665243785,32.6088331858317,33.6696026833852
"90%31","F37135",31.0072666295369,31.828863360087,33.1920022583008
"90%32","F37025",31.3572135666669,32.0945187390861,33.1497793255822
"90%33","F37097",30.2592695609383,31.058943514202,32.2868477385977
"90%34","F37169",29.9848970685686,30.7803856958662,31.9833137501308
"90%35","F13109",33.2633839111328,34.2376201477051,35.2857193389893
"90%36","F45023",31.5469925355911,32.4694150590896,33.7107163467407
"90%37","F37081",30.4213764863856,31.2728676665063,32.55471401252
"90%38","F13003",33.4485754051987,34.051436677271,35.1032142748151
"90%39","F13201",33.4890693820253,34.2028754175926,35.42530177058
"90%40","F13081",33.1913315220883,33.9921081643355,35.1708667112652
"90%41","F13069",33.4875225067139,34.1494536924362,35.1741696949005
"90%42","F13017",33.1166723675198,33.7197223027548,34.8829166793823
"90%43","F13053",32.0985942416721,32.9746640841166,34.0375861867269
"90%44","F13149",31.2337733629015,31.9085711415608,33.2214558325873
"90%45","F37145",30.7801650516571,31.492661857605,32.916816646031
"90%46","F37181",30.8969022115072,31.7663644451565,32.9080563846164
"90%47","F13217",31.6016194971596,32.485053597427,33.5932466367396
"90%48","F37107",31.9380552883806,32.5922964096069,34.2156768588362
"90%49","F37045",30.5348238816902,31.255644863755,32.4303858475187
"90%50","F45087",31.7196215036753,32.6436755773184,33.813544878573
"90%51","F37175",26.9044606208801,27.6905893189566,29.4501636150905
"90%52","F37049",31.6095894596033,32.391742189307,33.8673370508562
"90%53","F13089",30.6295299911499,31.4279775810242,32.6015353279113
"90%54","F13311",28.3469548625331,29.1004742468557,30.2076058836906
"90%55","F13115",30.9746270102423,31.7593216741407,32.8147426904214
